fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1927-03-09,1,1,1970-01-01 00:00:00.000001920,0
1927-09-17,12,7,1970-01-01 00:00:00.000001920,5
1927-09-17,3,3,1970-01-01 00:00:00.000001920,0
1927-09-23,6,6,1970-01-01 00:00:00.000001920,0
1927-06-10,2,2,1970-01-01 00:00:00.000001920,0
1927-10-30,4,4,1970-01-01 00:00:00.000001920,0
1927-08-11,1,1,1970-01-01 00:00:00.000001920,0
1927-11-16,6,6,1970-01-01 00:00:00.000001920,0
1927-11-29,1,1,1970-01-01 00:00:00.000001920,0
1927-12-28,1,1,1970-01-01 00:00:00.000001920,0
1927-12-31,5,5,1970-01-01 00:00:00.000001920,0
1928-08-01,3,3,1970-01-01 00:00:00.000001920,0
1928-01-16,2,2,1970-01-01 00:00:00.000001920,0
1928-01-22,1,1,1970-01-01 00:00:00.000001920,0
1928-01-22,2,2,1970-01-01 00:00:00.000001920,0
1928-01-27,1,1,1970-01-01 00:00:00.000001920,0
1928-02-26,2,1,1970-01-01 00:00:00.000001920,1
1928-11-03,2,2,1970-01-01 00:00:00.000001920,0
1928-04-17,2,1,1970-01-01 00:00:00.000001920,1
1928-04-19,9,9,1970-01-01 00:00:00.000001920,0
1928-07-05,5,1,1970-01-01 00:00:00.000001920,4
1928-12-05,2,2,1970-01-01 00:00:00.000001920,0
1928-05-26,5,3,1970-01-01 00:00:00.000001920,2
1928-06-14,5,5,1970-01-01 00:00:00.000001920,0
1928-06-22,1,1,1970-01-01 00:00:00.000001920,0
1928-10-07,6,6,1970-01-01 00:00:00.000001920,0
1928-07-13,6,4,1970-01-01 00:00:00.000001920,2
1928-07-24,6,1,1970-01-01 00:00:00.000001920,5
1928-08-25,7,7,1970-01-01 00:00:00.000001920,0
1928-02-09,5,5,1970-01-01 00:00:00.000001920,0
1928-04-09,2,1,1970-01-01 00:00:00.000001920,1
1928-04-09,7,7,1970-01-01 00:00:00.000001920,0
1928-06-09,3,3,1970-01-01 00:00:00.000001920,0
1928-04-10,3,3,1970-01-01 00:00:00.000001920,0
1928-10-18,1,1,1970-01-01 00:00:00.000001920,0
1928-10-31,2,1,1970-01-01 00:00:00.000001920,1
1928-11-15,3,1,1970-01-01 00:00:00.000001920,2
1928-11-24,3,3,1970-01-01 00:00:00.000001920,0
1928-11-25,1,1,1970-01-01 00:00:00.000001920,0
1928-11-25,1,1,1970-01-01 00:00:00.000001920,0
1928-01-12,5,5,1970-01-01 00:00:00.000001920,0
1928-03-12,14,14,1970-01-01 00:00:00.000001920,0
1928-10-12,5,5,1970-01-01 00:00:00.000001920,0
1928-11-12,4,3,1970-01-01 00:00:00.000001920,1
1928-12-20,1,1,1970-01-01 00:00:00.000001920,0
1928-12-23,4,4,1970-01-01 00:00:00.000001920,0
1928-12-31,3,2,1970-01-01 00:00:00.000001920,1
1929-05-01,1,1,1970-01-01 00:00:00.000001920,0
1929-01-18,1,1,1970-01-01 00:00:00.000001920,0
1929-01-25,9,2,1970-01-01 00:00:00.000001920,7
1929-01-31,2,2,1970-01-01 00:00:00.000001920,0
1929-01-31,1,1,1970-01-01 00:00:00.000001920,0
1929-03-17,15,14,1970-01-01 00:00:00.000001920,1
1929-03-30,4,4,1970-01-01 00:00:00.000001920,0
